分拣中心,等级,日均流入,日均流出,净流量(出-入),日均经过总量,流向类型
A46分拣,S,291.0,164218.0,163927.0,567707.0,净发件型
A10分拣,S,155.0,299168.0,299012.0,434562.0,净发件型
A45分拣,S,128.0,323440.0,323312.0,590020.0,净发件型
A102分拣,S,166004.0,173444.0,7440.0,471993.0,双向平衡型
A104分拣,A,266834.0,202858.0,-63976.0,513914.0,双向平衡型
A18分拣,A,106618.0,81119.0,-25499.0,262391.0,双向平衡型
A91分拣,A,163.0,172813.0,172650.0,275864.0,净发件型
A19分拣,A,163191.0,284814.0,121623.0,475336.0,净发件型
A1分拣,A,206185.0,106177.0,-100008.0,395503.0,净收件型
A77分拣,A,545.0,127688.0,127143.0,231424.0,净发件型
A68分拣,A,156624.0,78030.0,-78594.0,314403.0,净收件型
A56分拣,A,276.0,116206.0,115929.0,301595.0,净发件型
A24分拣,A,68.0,495656.0,495588.0,540289.0,净发件型
A16分拣,A,173541.0,6313.0,-167228.0,274969.0,净收件型
A17分拣,A,174.0,217302.0,217128.0,266035.0,净发件型
A11分拣,A,121659.0,111849.0,-9810.0,263696.0,双向平衡型
A42分拣,A,63202.0,49931.0,-13271.0,232781.0,双向平衡型
A15分拣,A,1778.0,97914.0,96136.0,164348.0,净发件型
A2分拣,A,78052.0,65028.0,-13024.0,192982.0,双向平衡型
A5分拣,A,181338.0,33606.0,-147732.0,262697.0,净收件型
A69分拣,A,139.0,200168.0,200028.0,250396.0,净发件型
A64分拣,A,223689.0,23063.0,-200626.0,280786.0,净收件型
A76分拣,A,105431.0,97326.0,-8106.0,273643.0,双向平衡型
A86分拣,A,83394.0,79697.0,-3697.0,180285.0,双向平衡型
A72分拣,A,75168.0,123303.0,48136.0,228297.0,净发件型
A61分拣,A,4808.0,116104.0,111297.0,201709.0,净发件型
A74分拣,A,174904.0,170845.0,-4059.0,397746.0,双向平衡型
A13分拣,A,192772.0,26677.0,-166095.0,260122.0,净收件型
A73分拣,A,143240.0,24864.0,-118376.0,198373.0,净收件型
A28分拣,A,183101.0,49058.0,-134043.0,255308.0,净收件型
A82分拣,A,111.0,61376.0,61264.0,117091.0,净发件型
A98分拣,A,8249.0,105510.0,97260.0,118970.0,净发件型
A101分拣,A,134824.0,25983.0,-108841.0,169478.0,净收件型
A6分拣,A,1290.0,77924.0,76635.0,105659.0,净发件型
A47分拣,A,112970.0,38570.0,-74400.0,162288.0,净收件型
A59分拣,A,99367.0,71872.0,-27495.0,194833.0,双向平衡型
A51分拣,A,82982.0,199481.0,116499.0,305735.0,净发件型
A80分拣,A,399.0,84403.0,84004.0,100987.0,净发件型
A62分拣,B,59179.0,16381.0,-42798.0,102925.0,净收件型
A95分拣,B,208810.0,84104.0,-124706.0,300182.0,净收件型
A21分拣,B,81139.0,160112.0,78972.0,266642.0,净发件型
A84分拣,B,126170.0,1112.0,-125058.0,127665.0,净收件型
A9分拣,B,33864.0,33790.0,-74.0,83819.0,双向平衡型
A4分拣,B,194993.0,96879.0,-98114.0,291872.0,净收件型
A49分拣,B,81308.0,45320.0,-35988.0,137586.0,净收件型
A35分拣,B,101384.0,77610.0,-23774.0,178994.0,双向平衡型
A14分拣,B,102722.0,61354.0,-41368.0,165850.0,净收件型
A37分拣,B,150983.0,69819.0,-81164.0,220802.0,净收件型
A27分拣,B,137112.0,42575.0,-94538.0,184356.0,净收件型
A31分拣,B,25316.0,11903.0,-13413.0,42071.0,净收件型
A92分拣,B,116595.0,34838.0,-81758.0,155478.0,净收件型
A66分拣,B,137087.0,77708.0,-59379.0,214795.0,净收件型
A3分拣,B,80408.0,42183.0,-38225.0,122591.0,净收件型
A36分拣,B,42024.0,196155.0,154131.0,242040.0,净发件型
A55分拣,B,106180.0,73407.0,-32774.0,179587.0,双向平衡型
A57分拣,B,86494.0,39683.0,-46811.0,126338.0,净收件型
A88分拣,B,58165.0,23356.0,-34809.0,84314.0,净收件型
A93分拣,B,78214.0,23052.0,-55162.0,101266.0,净收件型
A75分拣,B,70607.0,35397.0,-35210.0,106004.0,净收件型
A34分拣,B,55184.0,30677.0,-24507.0,85861.0,净收件型
A48分拣,B,30323.0,43075.0,12752.0,78253.0,双向平衡型
A43分拣,B,86984.0,29049.0,-57934.0,116033.0,净收件型
A63分拣,B,56816.0,33770.0,-23046.0,90585.0,净收件型
A65分拣,B,46447.0,50760.0,4313.0,97207.0,双向平衡型
A87分拣,B,46730.0,22421.0,-24309.0,69152.0,净收件型
A81分拣,B,57268.0,12945.0,-44322.0,70213.0,净收件型
A100分拣,B,42802.0,48660.0,5858.0,91463.0,双向平衡型
A22分拣,B,57831.0,16205.0,-41626.0,75011.0,净收件型
A90分拣,B,66382.0,147.0,-66235.0,66529.0,净收件型
A50分拣,B,46429.0,29592.0,-16838.0,76021.0,净收件型
A40分拣,B,41813.0,16421.0,-25392.0,58233.0,净收件型
A44分拣,B,37668.0,30722.0,-6946.0,68390.0,双向平衡型
A78分拣,B,40603.0,16083.0,-24520.0,56686.0,净收件型
A41分拣,B,41641.0,21539.0,-20102.0,63180.0,净收件型
A85分拣,B,36361.0,7634.0,-28727.0,44878.0,净收件型
A12分拣,B,34826.0,26519.0,-8307.0,61345.0,双向平衡型
A32分拣,C,42773.0,12878.0,-29895.0,55650.0,净收件型
A71分拣,C,31954.0,22775.0,-9179.0,54729.0,双向平衡型
A67分拣,C,50341.0,7762.0,-42579.0,58103.0,净收件型
A96分拣,C,30491.0,8957.0,-21534.0,39448.0,净收件型
A79分拣,C,29974.0,11048.0,-18926.0,41023.0,净收件型
A60分拣,C,24379.0,13670.0,-10709.0,38048.0,净收件型
A52分拣,C,37646.0,7721.0,-29925.0,45367.0,净收件型
A29分拣,C,28559.0,7711.0,-20848.0,36270.0,净收件型
A30分拣,C,22990.0,8130.0,-14860.0,31119.0,净收件型
A8分拣,C,16605.0,4883.0,-11722.0,21488.0,净收件型
A39分拣,C,15836.0,5444.0,-10393.0,21280.0,净收件型
A58分拣,C,14242.0,5813.0,-8429.0,20055.0,净收件型
A25分拣,C,13358.0,3073.0,-10286.0,16431.0,净收件型
A20分拣,C,11278.0,3934.0,-7344.0,15212.0,净收件型
A33分拣,C,3629.0,1189.0,-2440.0,4817.0,净收件型
南阳分拣中心,D,0.0,0.0,0.0,1696.0,双向平衡型
A89分拣,D,0.0,848.0,848.0,848.0,净发件型
