中转站,出现次数,占比%
A46分拣,6193,12.27941468057263
A45分拣,5272,10.45326565412222
A10分拣,4119,8.167109489630011
A6分拣,2685,5.323789507078558
A102分拣,1991,3.9477336717293885
A77分拣,1939,3.8446286235476066
A15分拣,1728,3.4262600626561444
A91分拣,1705,3.380655906729587
A69分拣,1309,2.595471309037554
A17分拣,1269,2.5161597335131063
A9分拣,1233,2.4447793155411035
A42分拣,1222,2.42296863227188
A18分拣,1150,2.280207796327874
A82分拣,1011,2.004600071380418
A56分拣,975,1.9332196534084152
A11分拣,888,1.760716976642741
A2分拣,863,1.7111472419399611
A104分拣,838,1.6615775072371812
A24分拣,811,1.608042193758179
A1分拣,790,1.5664036166078439
A62分拣,748,1.4831264623071736
A72分拣,683,1.3542451520799461
A68分拣,667,1.322520521870167
A64分拣,615,1.2194154736883849
A16分拣,612,1.2134671055240513
A80分拣,584,1.157949002656938
A5分拣,553,1.0964825316254907
A86分拣,548,1.0865685846849347
A73分拣,535,1.0607923226394893
A76分拣,507,1.0052742197723759
A59分拣,452,0.8962208034262601
A74分拣,380,0.753459967482254
A13分拣,371,0.7356148629892533
A28分拣,350,0.6939762858389182
A61分拣,325,0.6444065511361383
A31分拣,312,0.6186302890906927
A101分拣,285,0.5650949756116905
A51分拣,255,0.5056112939683547
A98分拣,246,0.48776618947535394
A19分拣,246,0.48776618947535394
A21分拣,175,0.3469881429194591
A95分拣,173,0.34302256414323673
A49分拣,171,0.33905698536701434
A84分拣,158,0.31328072332156875
A47分拣,132,0.2617281992306777
A4分拣,95,0.1883649918705635
A35分拣,95,0.1883649918705635
A27分拣,86,0.17051988737756277
A55分拣,85,0.16853709798945157
A92分拣,83,0.16457151921322916
A14分拣,83,0.16457151921322916
A37分拣,80,0.15862315104889557
A66分拣,79,0.15664036166078438
A3分拣,75,0.14870920410833963
A93分拣,75,0.14870920410833963
A81分拣,73,0.14474362533211724
A75分拣,73,0.14474362533211724
A90分拣,71,0.14077804655589485
A88分拣,71,0.14077804655589485
A34分拣,70,0.13879525716778363
A87分拣,68,0.13482967839156124
A48分拣,66,0.13086409961533885
A63分拣,62,0.1229329420628941
A57分拣,60,0.11896736328667169
A36分拣,60,0.11896736328667169
A65分拣,53,0.10508783756989332
A43分拣,50,0.09913946940555973
A22分拣,49,0.09715668001744855
A100分拣,46,0.09120831185311495
A50分拣,43,0.08525994368878138
A67分拣,41,0.08129436491255898
A85分拣,41,0.08129436491255898
A78分拣,41,0.08129436491255898
A44分拣,38,0.07534599674822541
A41分拣,38,0.07534599674822541
A33分拣,35,0.06939762858389181
A32分拣,35,0.06939762858389181
A40分拣,34,0.06741483919578062
A79分拣,32,0.06344926041955823
A29分拣,32,0.06344926041955823
A39分拣,29,0.05750089225522465
A12分拣,29,0.05750089225522465
A52分拣,28,0.05551810286711346
A25分拣,24,0.04758694531466868
A96分拣,23,0.04560415592655748
A30分拣,22,0.04362136653844629
A60分拣,21,0.041638577150335095
A8分拣,19,0.037672998374112705
A58分拣,18,0.03569020898600151
A71分拣,17,0.03370741959789031
南阳分拣中心,6,0.01189673632866717
A20分拣,6,0.01189673632866717
